id,isPaid,createdAt,updatedAt,buyOrder,userId,coursesIds
7caa909f-59fc-4701-b59c-4f57f3991837,t,2024-08-08 01:51:06.533+00,2024-08-08 01:53:41.222+00,da02f5322d8636bf88ae2cf5b2,b33e7471-def7-4b03-9ecd-849bd6c5f539,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
b1ee7e30-dce9-497f-b2e4-139948bcc720,t,2024-08-08 01:52:49.852+00,2024-08-08 01:54:24.439+00,837340700b78b4b7ebff3fbae5,feaa9fc3-84ba-4502-8c4f-9e89548ca399,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
02b50ea1-e0c6-49fa-95d7-ef014cbdd7ac,t,2024-08-08 01:53:17.133+00,2024-08-08 01:55:09.5+00,238767cce63b9b165290554248,c60326dc-26eb-4b2e-bf31-5b4eddc58ae8,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
5a575516-48e4-4234-b80b-f263c7ed6ea0,t,2024-08-08 01:55:26.024+00,2024-08-08 01:57:27.99+00,ec1c49535cd6f9360f5eb7e6c1,b70c0584-91b9-4c18-95da-393949e9940f,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
7629d7bf-ff4f-493f-94f6-8526099ebb72,t,2024-08-08 01:58:29.617+00,2024-08-08 01:59:38.908+00,93c7c636066e60952699db49a7,3a58d4df-aa1d-4e9b-a568-a385076c7a12,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
c6301b99-fdfa-4fdf-928e-2ead8c035cdd,t,2024-08-08 02:03:38.331+00,2024-08-08 02:04:35.942+00,e9e0a47d9e9fb076fa376806ab,a4d2aaf2-933a-407b-ba80-9a69f2974cc8,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,f5fb2002-9ed8-4520-99ef-46df7e453375}"
40508a65-0c98-4bc4-a555-4fc50511a362,t,2024-08-08 01:51:08.656+00,2024-08-08 02:04:52.861+00,70762edd9eff6b2b486d1fac24,25cfbf8b-8b14-4330-ac15-84bb20b26fd3,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
7754b16d-6cff-4497-b9fd-a66750ee9fe4,f,2024-08-08 02:08:55.38+00,2024-08-08 02:08:55.38+00,e85ef037d612b03784c7551f01,b717ae66-ddda-43a6-98f9-42f0ed4fd860,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
f46b93fd-54af-431e-b597-e3c4ac8386e2,t,2024-08-08 02:05:56.372+00,2024-08-08 02:09:05.592+00,fb3612e26fcf8af0279654804c,a4ae67f1-34e5-482f-9190-281a0ecf3ac4,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
1d266329-3126-4bdf-a7d1-727bb09a3074,t,2024-08-08 02:07:54.82+00,2024-08-08 02:10:06.036+00,c88f6cad0e8d1cbe97246d6278,7655129d-1494-4c57-a254-fad0936cf5f9,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
